,f_Hz,G_mS,B_ms
242,4997188.455,2.221024330665742,-2.346634232604415
243,4997190.8825,2.139060779677181,-2.3066618031628088
244,4997193.31,2.0602457393344156,-2.2613345954101787
245,4997195.7375,1.9805684711273042,-2.221478138764836
246,4997198.165,1.9104421774150089,-2.1827738974410393
247,4997200.5925,1.8408041566233433,-2.1399563051325257
248,4997203.02,1.7745445382341298,-2.098480703265722
249,4997205.4475,1.7136975353537642,-2.0589114621751725
250,4997207.875,1.6529376109994214,-2.018141067262818
251,4997210.3025,1.5991477807379257,-1.9776193106751032
252,4997212.73,1.5426062525289865,-1.9403277106193642
253,4997215.1575,1.4907999506679785,-1.8987173862613895
254,4997217.585,1.4455054341034135,-1.8600076165718198
255,4997220.0125,1.3960701502904964,-1.8252017555919278
256,4997222.44,1.352200908151486,-1.7859095939752299
257,4997224.8675,1.3091370278652765,-1.7497099477503406
258,4997227.295,1.2681277763997634,-1.7117016022183962
259,4997229.7225,1.2293050508376593,-1.6789991150185577
260,4997232.15,1.1914343758899109,-1.6429217899106079
261,4997234.5775,1.156898733207557,-1.6078219777524492
262,4997237.005,1.123190739047815,-1.57577049676961
263,4997239.4325,1.0915571595994842,-1.5412738738652383
264,4997241.86,1.056417829323231,-1.5076654479058085
265,4997244.2875,1.0281735904916527,-1.4757823692669683
266,4997246.715,1.0000186878131208,-1.446854179154184
267,4997249.1425,0.9724129855747702,-1.4135016999281462
268,4997251.57,0.9458567711903366,-1.3867217899954383
269,4997253.9975,0.9215377209806916,-1.356147609403829
270,4997256.425,0.8971908111217123,-1.3263555259229844
271,4997258.8525,0.873267019313535,-1.2999672396319883
272,4997261.28,0.8490217860389955,-1.2718251545689867
273,4997263.7075,0.8287687863789743,-1.2438369157555018
274,4997266.135,0.8064192019915812,-1.2168346332465922
275,4997268.5625,0.7892542470892018,-1.1898990209975642
276,4997270.99,0.7689449325083078,-1.1640042058599458
277,4997273.4175,0.7499125117060066,-1.1403602750583335
278,4997275.845,0.7283213521278792,-1.1131470485347723
279,4997278.2725,0.713701309631432,-1.0911576630964175
280,4997280.7,0.6961734773282726,-1.0666835495211107
281,4997283.1275,0.6807875776136961,-1.043512064438448
282,4997285.555,0.6651787147045771,-1.0225369317395419
283,4997287.9825,0.6496392760201887,-0.9970633505242638
284,4997290.41,0.6371269017065323,-0.9737879177855708
285,4997292.8375,0.6211967419630832,-0.9535510492521956
286,4997295.265,0.6048873934006543,-0.9346626464351481
287,4997297.6925,0.5965606512303243,-0.9122423740013644
288,4997300.12,0.5857720945843001,-0.8873576073635785
289,4997302.5475,0.5709406219412032,-0.8704668684548984
290,4997304.975,0.5598842136852501,-0.8534775501988495
291,4997307.4025,0.5473427538713478,-0.8336893535821558
292,4997309.83,0.5343145982932869,-0.8127534580831479
293,4997312.2575,0.525142219275209,-0.7919368926343351
294,4997314.685,0.5136643710561549,-0.7741273764348823
295,4997317.1125,0.500997867865475,-0.7577461951496903
296,4997319.54,0.49353591760907023,-0.7394729127170343
297,4997321.9675,0.48223157379036685,-0.7211207818797779
298,4997324.395,0.4738077089742414,-0.7048959306822771
299,4997326.8225,0.4647058688118918,-0.6884606065934147
300,4997329.25,0.45642107396863585,-0.6719492904124207
301,4997331.6775,0.4466035602122459,-0.6562151391132824
302,4997334.105,0.43810214487332777,-0.637219210636495
303,4997336.5325,0.43019139091621933,-0.623194386441079
304,4997338.96,0.42292475809460417,-0.6067008025212662
305,4997341.3875,0.41434218144223484,-0.5920332278067576
306,4997343.815,0.4069339616461537,-0.578638642693082
307,4997346.2425,0.4007535289134727,-0.5648565443027953
308,4997348.67,0.3934477307109055,-0.5503946743248479
309,4997351.0975,0.38718954337696093,-0.5347617983506623
310,4997353.525,0.37903498174553074,-0.5251584242645504
311,4997355.9525,0.37194223030607965,-0.5085791641249446
312,4997358.38,0.3667468916912116,-0.49536263084545373
313,4997360.8075,0.36107333848789847,-0.48305894517747305
314,4997363.235,0.35569501033782136,-0.46967028359881346
315,4997365.6625,0.35046217751115444,-0.45663694242538705
316,4997368.09,0.3447545713187406,-0.44406225103383706
317,4997370.5175,0.3391545513981837,-0.43269046263410016
318,4997372.945,0.3354715072444747,-0.42136757140888464
319,4997375.3725,0.3251508358643878,-0.40820155801472796
320,4997377.8,0.3219917290425828,-0.395442559051472
321,4997380.2275,0.3174416341647146,-0.3821733160275447
322,4997382.655,0.3132154463633865,-0.37263862690667215
323,4997385.0825,0.30709312336619216,-0.3608924868025932
324,4997387.51,0.30270198432405,-0.34882631665596225
325,4997389.9375,0.302033370197859,-0.33719414696849603
326,4997392.365,0.29506093303716024,-0.3245388340162963
327,4997394.7925,0.2890383094006062,-0.31500173947157356
328,4997397.22,0.2849225586881278,-0.3041946972716876
